Age,Gender,Married,Dependents,Education,Employment_Type,Monthly_Income,Monthly_Expenses,Existing_EMI,Savings,Credit_Score,Credit_History,Loan_Type,Loan_Amount,Loan_Tenure,Property_Area,Debt_Ratio,Savings_Ratio,Financial_Score,Loan_Status
55,Female,Yes,3,Graduate,Business,141275,37742,4940,939312,863,0,Personal,4634780,60,Urban,0.3,6.65,78.24,Approved
36,Male,No,3,Not Graduate,Private,246662,110130,59142,132967,468,1,Personal,3375095,180,Semiurban,0.69,0.54,41.16,Rejected
39,Female,No,1,Graduate,Business,77068,8832,18978,1147065,362,1,Personal,520624,300,Semiurban,0.36,14.88,58.35,Approved
53,Male,Yes,4,Graduate,Private,37962,7226,3853,856778,422,0,Personal,787726,240,Rural,0.29,22.57,61.52,Rejected
58,Female,No,1,Not Graduate,Private,89629,30938,4288,1418636,607,1,Vehicle,708535,60,Semiurban,0.39,15.83,68.77,Approved
60,Male,Yes,4,Graduate,Business,54722,16436,1127,522301,678,1,Home,3775758,300,Rural,0.32,9.54,71.78,Approved
40,Male,No,0,Graduate,Business,50258,8507,12163,1170194,459,1,Vehicle,1866889,180,Urban,0.41,23.28,60.07,Rejected
37,Female,No,0,Graduate,Self Employed,237408,77530,2889,17435,641,0,Vehicle,1455447,240,Rural,0.34,0.07,57.97,Rejected
48,Male,Yes,0,Graduate,Government,238784,101787,38175,1168729,451,1,Home,450885,180,Semiurban,0.59,4.89,51.8,Approved
23,Female,Yes,1,Graduate,Business,224502,78385,26632,1311621,458,0,Home,1585222,240,Urban,0.47,5.84,56.99,Rejected
32,Female,No,1,Not Graduate,Private,226405,96917,7084,812248,339,1,Home,1774138,240,Semiurban,0.46,3.59,47.52,Approved
40,Male,Yes,0,Graduate,Self Employed,106051,23258,2274,595367,659,1,Vehicle,331530,60,Semiurban,0.24,5.61,67.54,Approved
32,Female,Yes,0,Not Graduate,Business,210983,108078,20557,925184,823,0,Education,4936771,120,Semiurban,0.61,4.39,65.5,Rejected
23,Female,Yes,4,Graduate,Business,133062,14171,21639,1316851,621,0,Vehicle,4354051,180,Rural,0.27,9.9,74.64,Approved
47,Female,No,2,Graduate,Private,130217,54695,22194,374961,882,1,Education,4696430,60,Semiurban,0.59,2.88,62.45,Approved
39,Male,No,4,Not Graduate,Self Employed,135811,62954,14005,1082009,784,0,Personal,2480572,300,Rural,0.57,7.97,69.21,Approved
60,Female,Yes,1,Not Graduate,Private,231435,57200,9656,61223,347,0,Education,710927,240,Semiurban,0.29,0.26,46.54,Rejected
57,Male,No,3,Not Graduate,Private,58684,26497,11266,21628,409,1,Home,1575444,300,Semiurban,0.64,0.37,31.96,Rejected
24,Male,Yes,3,Graduate,Self Employed,195001,74616,36629,1258754,624,1,Education,4695883,240,Urban,0.57,6.46,61.33,Approved
51,Female,No,1,Not Graduate,Self Employed,184298,36358,17996,932479,379,1,Home,2379311,180,Semiurban,0.29,5.06,55.49,Approved
55,Male,Yes,1,Graduate,Self Employed,201914,25028,46295,458691,365,1,Education,2875634,300,Semiurban,0.35,2.27,48.25,Approved
47,Male,Yes,3,Not Graduate,Government,244587,104714,31259,22364,660,1,Education,3615005,300,Rural,0.56,0.09,52.62,Approved
55,Male,No,1,Not Graduate,Self Employed,147308,8804,25484,714914,714,0,Education,1170619,300,Rural,0.23,4.85,70.35,Approved
22,Female,Yes,0,Not Graduate,Private,247239,126031,11909,115454,566,1,Vehicle,1875535,240,Semiurban,0.56,0.47,49.24,Rejected
42,Female,No,3,Not Graduate,Government,143288,7540,35351,119231,658,0,Personal,437709,60,Urban,0.3,0.83,57.66,Rejected
33,Male,Yes,1,Graduate,Self Employed,195494,19993,36960,467104,776,1,Vehicle,1507517,300,Rural,0.29,2.39,68.35,Approved
28,Male,No,0,Graduate,Business,170941,93781,24596,841844,503,0,Home,954810,180,Rural,0.69,4.92,48.27,Rejected
59,Male,Yes,2,Not Graduate,Business,38076,21579,5590,36533,730,1,Personal,3736657,180,Rural,0.71,0.96,44.48,Rejected
50,Male,No,1,Not Graduate,Self Employed,141863,62091,17589,685921,551,0,Vehicle,3881601,120,Semiurban,0.56,4.84,52.98,Rejected
57,Female,No,0,Not Graduate,Business,67668,36952,6950,754121,564,1,Vehicle,2417508,300,Urban,0.65,11.14,58.31,Rejected
54,Male,Yes,1,Not Graduate,Self Employed,165536,36499,31201,1364556,802,1,Personal,880588,180,Urban,0.41,8.24,76.48,Approved
46,Male,No,4,Not Graduate,Self Employed,165089,74588,22528,902346,863,1,Vehicle,3906291,180,Semiurban,0.59,5.47,68.24,Approved
37,Male,Yes,1,Not Graduate,Government,214741,75236,49950,1457377,489,0,Home,4161752,180,Rural,0.58,6.79,56.41,Rejected
58,Female,Yes,1,Not Graduate,Private,114602,16759,9904,39671,846,0,Vehicle,481813,60,Rural,0.23,0.35,65.9,Approved
39,Male,No,0,Graduate,Business,143049,67746,28866,724512,488,0,Vehicle,4107482,60,Urban,0.68,5.06,47.28,Rejected
46,Female,Yes,4,Graduate,Private,59111,31579,9221,647189,387,0,Personal,4781455,240,Rural,0.69,10.95,48.86,Rejected
59,Male,No,3,Not Graduate,Business,245487,117415,20013,1202502,361,0,Home,1870207,180,Rural,0.56,4.9,48.87,Rejected
26,Male,Yes,1,Graduate,Private,20701,8346,3690,1455716,781,1,Personal,2041763,180,Rural,0.58,70.32,68.1,Approved
39,Female,Yes,1,Not Graduate,Private,131447,20043,14733,1368188,452,1,Home,699029,60,Urban,0.26,10.41,67.41,Approved
40,Female,No,0,Not Graduate,Business,203430,57757,17841,1059566,852,1,Education,774795,300,Urban,0.37,5.21,75.27,Approved
48,Female,No,0,Graduate,Private,196763,114570,37696,1241286,321,1,Personal,1569606,240,Rural,0.77,6.31,41.54,Approved
49,Female,Yes,4,Not Graduate,Self Employed,43918,20401,5700,866368,641,1,Personal,1449096,180,Semiurban,0.59,19.73,62.42,Rejected
52,Female,No,4,Graduate,Self Employed,43084,15306,4135,687954,418,1,Personal,4651604,240,Semiurban,0.45,15.97,56.76,Rejected
24,Male,No,4,Not Graduate,Self Employed,219226,11764,13340,570057,862,0,Vehicle,3775184,240,Urban,0.11,2.6,78.85,Approved
22,Male,Yes,2,Graduate,Self Employed,44434,12362,1858,977726,420,0,Education,2548312,300,Rural,0.32,22.0,60.84,Rejected
38,Female,No,3,Graduate,Self Employed,164510,23958,25138,409738,820,0,Personal,2417331,240,Semiurban,0.3,2.49,69.05,Approved
53,Female,Yes,2,Not Graduate,Self Employed,246822,43953,29264,1139485,795,1,Vehicle,4729818,300,Semiurban,0.3,4.62,75.54,Approved
50,Female,Yes,1,Not Graduate,Private,244398,112682,2860,677264,784,1,Education,1375951,240,Urban,0.47,2.77,65.98,Approved
29,Female,Yes,3,Graduate,Self Employed,24023,7361,3358,1383175,458,0,Education,2323172,180,Rural,0.45,57.58,57.93,Rejected
46,Male,No,4,Not Graduate,Business,184311,99203,31978,1144592,336,0,Home,2510709,120,Rural,0.71,6.21,43.37,Rejected
26,Female,Yes,0,Not Graduate,Private,201928,44251,1897,106450,632,0,Vehicle,3107008,180,Semiurban,0.23,0.53,60.36,Rejected
30,Male,No,4,Graduate,Private,65893,10175,12535,1309626,546,1,Home,2047737,240,Rural,0.34,19.88,66.56,Approved
37,Female,No,0,Not Graduate,Business,197631,76643,10353,164899,752,1,Vehicle,3659361,180,Semiurban,0.44,0.83,59.79,Approved
40,Male,No,3,Graduate,Private,119972,52049,18835,630489,602,0,Education,2402508,60,Rural,0.59,5.26,54.34,Approved
24,Female,No,1,Not Graduate,Private,186885,29920,40690,535602,440,0,Personal,2691516,240,Urban,0.38,2.87,51.43,Rejected
58,Female,Yes,0,Not Graduate,Business,215947,59460,11510,431097,435,1,Vehicle,1480298,180,Semiurban,0.33,2.0,52.1,Approved
39,Female,Yes,3,Graduate,Private,217696,34571,44323,1424332,706,1,Personal,3409931,60,Semiurban,0.36,6.54,72.3,Approved
55,Male,No,2,Not Graduate,Self Employed,235591,102379,7100,1425234,539,1,Personal,4809426,180,Rural,0.46,6.05,61.54,Approved
35,Male,No,2,Not Graduate,Government,56641,6485,609,648298,804,0,Personal,2069645,300,Urban,0.13,11.45,84.24,Approved
45,Female,No,4,Not Graduate,Private,128759,17978,27318,1036235,717,1,Personal,3208230,120,Semiurban,0.35,8.05,72.56,Approved
49,Male,No,0,Not Graduate,Business,35872,18046,4520,408057,425,1,Personal,1879272,300,Urban,0.63,11.38,51.45,Rejected
24,Female,Yes,1,Graduate,Government,237531,59305,38429,462882,538,1,Home,123786,180,Urban,0.41,1.95,54.97,Rejected
29,Female,Yes,0,Graduate,Private,23895,10869,1949,1244914,631,0,Home,2326064,60,Urban,0.54,52.1,62.91,Rejected
47,Male,Yes,3,Not Graduate,Business,154542,82812,7146,957924,815,0,Personal,4474249,180,Semiurban,0.58,6.2,67.34,Approved
22,Male,No,3,Not Graduate,Government,148521,63138,4816,179429,629,0,Personal,1158571,180,Rural,0.46,1.21,52.59,Rejected
58,Female,No,4,Not Graduate,Self Employed,152527,84354,28193,217992,417,0,Education,3887917,120,Semiurban,0.74,1.43,35.36,Rejected
42,Female,No,3,Graduate,Business,131873,45963,16704,794966,456,1,Personal,865248,60,Urban,0.48,6.03,53.34,Approved
48,Male,No,1,Graduate,Business,195639,21021,26922,751548,733,0,Vehicle,2721011,180,Urban,0.25,3.84,70.73,Approved
57,Male,Yes,3,Graduate,Government,111780,60402,18227,780831,417,1,Home,3699655,300,Rural,0.7,6.99,45.87,Rejected
60,Male,No,0,Graduate,Business,204208,104930,20249,722663,659,0,Home,1301680,300,Rural,0.61,3.54,56.14,Rejected
46,Male,Yes,0,Graduate,Private,118617,60028,14865,724910,461,1,Vehicle,2821120,300,Rural,0.63,6.11,48.51,Approved
26,Male,Yes,1,Graduate,Government,91330,34039,21690,899223,797,1,Education,2391489,120,Rural,0.61,9.85,70.46,Approved
28,Female,No,0,Not Graduate,Self Employed,158132,92442,20212,105247,525,1,Personal,164483,120,Semiurban,0.71,0.67,39.62,Rejected
34,Male,No,2,Not Graduate,Government,22026,13149,3527,378458,432,1,Home,4296504,300,Rural,0.76,17.18,47.37,Rejected
43,Male,No,0,Not Graduate,Government,140521,15205,20516,1217454,739,1,Education,2528629,60,Semiurban,0.25,8.66,78.17,Approved
22,Female,Yes,4,Not Graduate,Business,43102,19310,1734,520271,746,1,Personal,3419931,180,Rural,0.49,12.07,70.23,Approved
42,Male,No,1,Graduate,Government,159094,71840,12707,742693,659,0,Home,962386,120,Semiurban,0.53,4.67,59.05,Rejected
33,Male,Yes,0,Graduate,Self Employed,141622,78889,29419,1438440,878,1,Vehicle,1366322,240,Urban,0.76,10.16,71.74,Approved
51,Female,No,2,Graduate,Business,152995,14724,20342,978344,762,0,Personal,3193195,180,Urban,0.23,6.39,75.9,Approved
26,Female,No,4,Graduate,Self Employed,232288,54345,21071,1278789,787,0,Personal,3879261,60,Semiurban,0.32,5.51,75.54,Approved
26,Male,Yes,1,Not Graduate,Self Employed,157381,73517,10403,773149,681,1,Education,3529006,180,Rural,0.53,4.91,60.39,Approved
59,Male,No,0,Not Graduate,Government,166266,93916,25333,605899,558,0,Vehicle,783688,300,Rural,0.72,3.64,47.22,Rejected
30,Female,No,3,Graduate,Government,101155,41629,12343,1359503,636,0,Personal,3651790,300,Semiurban,0.53,13.44,66.31,Rejected
22,Female,No,1,Graduate,Business,220843,68736,12583,485095,440,0,Personal,2581283,60,Rural,0.37,2.2,51.74,Rejected
55,Male,No,4,Graduate,Self Employed,60436,10316,2962,1463002,469,1,Personal,3546531,180,Rural,0.22,24.21,66.67,Approved
36,Female,No,3,Graduate,Private,101125,57993,15368,416881,676,1,Education,2463672,240,Rural,0.73,4.12,50.57,Approved
54,Female,Yes,1,Graduate,Business,33678,15505,7873,788488,867,0,Personal,2491281,60,Urban,0.69,23.41,69.06,Rejected
38,Female,Yes,3,Graduate,Private,234093,123260,57975,743133,327,1,Personal,3425696,300,Semiurban,0.77,3.17,37.02,Rejected
36,Female,Yes,2,Graduate,Government,103541,11493,23419,1373066,643,0,Home,421310,180,Semiurban,0.34,13.26,72.6,Approved
29,Female,No,4,Graduate,Government,24981,9193,1766,323565,861,1,Personal,2516771,120,Semiurban,0.44,12.95,76.11,Approved
28,Male,Yes,3,Not Graduate,Government,49060,21378,9776,1134186,316,0,Home,2543366,240,Urban,0.64,23.12,46.96,Rejected
60,Female,Yes,4,Not Graduate,Private,194160,92584,5610,1107826,669,0,Personal,3375363,240,Urban,0.51,5.71,63.74,Approved
45,Female,No,0,Not Graduate,Government,110387,20802,24017,1388047,406,1,Home,471914,180,Rural,0.41,12.57,60.28,Approved
42,Male,No,3,Graduate,Private,36541,19997,605,625393,506,0,Home,451532,180,Semiurban,0.56,17.11,57.04,Rejected
53,Female,No,2,Graduate,Private,95002,28394,1566,1385168,639,1,Personal,3187168,240,Semiurban,0.32,14.58,72.74,Approved
49,Female,No,1,Not Graduate,Self Employed,116297,65575,26125,1099000,573,0,Education,762087,240,Rural,0.79,9.45,55.36,Rejected
32,Female,No,0,Graduate,Business,193256,43750,20086,945153,736,0,Education,3048989,240,Urban,0.33,4.89,70.31,Approved
43,Female,No,0,Graduate,Self Employed,115239,38625,26250,1434827,463,0,Home,3775660,60,Urban,0.56,12.45,58.3,Rejected
25,Male,No,2,Not Graduate,Government,178621,25111,44503,953556,679,1,Education,744961,300,Urban,0.39,5.34,66.31,Approved
54,Female,No,2,Not Graduate,Private,49739,5849,12053,400171,811,1,Personal,2295941,180,Rural,0.36,8.05,73.33,Approved
49,Male,No,3,Graduate,Government,55580,32945,1213,958002,476,1,Personal,2780896,180,Rural,0.61,17.24,54.94,Rejected
25,Female,No,1,Graduate,Business,153367,34391,7953,431486,442,0,Education,320486,180,Rural,0.28,2.81,53.12,Rejected
57,Female,No,4,Graduate,Government,37235,15134,6523,1013833,838,1,Education,4922615,60,Urban,0.58,27.23,71.28,Approved
41,Male,No,3,Not Graduate,Private,237331,52700,50317,280601,743,0,Personal,4446155,120,Semiurban,0.43,1.18,61.86,Rejected
31,Male,No,1,Not Graduate,Business,241756,25672,16423,421674,864,1,Home,2640276,300,Rural,0.17,1.74,76.34,Approved
26,Male,Yes,1,Not Graduate,Government,236330,12437,5323,105340,890,1,Home,4899434,240,Rural,0.08,0.45,77.65,Approved
22,Female,No,2,Not Graduate,Private,230944,111454,19492,961150,374,0,Home,3787678,240,Semiurban,0.57,4.16,47.17,Rejected
50,Male,No,4,Graduate,Business,245833,88706,48116,734294,708,0,Vehicle,4419966,300,Urban,0.56,2.99,60.58,Approved
41,Male,No,0,Not Graduate,Self Employed,84990,14232,3172,116126,597,1,Education,2182642,120,Semiurban,0.2,1.37,56.52,Rejected
57,Female,Yes,1,Not Graduate,Self Employed,150746,45441,32595,58604,392,1,Education,2119378,120,Rural,0.52,0.39,38.7,Rejected
43,Male,Yes,2,Not Graduate,Self Employed,94907,40172,267,235437,741,0,Vehicle,3168365,240,Semiurban,0.43,2.48,58.91,Rejected
23,Female,Yes,4,Graduate,Business,165024,42827,4818,820232,816,1,Vehicle,1096659,120,Urban,0.29,4.97,74.15,Approved
46,Female,No,4,Not Graduate,Private,72181,38365,13152,1058739,341,0,Personal,1249544,180,Semiurban,0.71,14.67,46.63,Rejected
54,Female,Yes,4,Graduate,Business,180712,46750,10649,834085,606,1,Education,4822150,180,Semiurban,0.32,4.62,63.86,Approved
22,Female,No,0,Not Graduate,Business,228864,11985,39119,1005287,571,0,Personal,4994948,240,Urban,0.22,4.39,66.62,Rejected
54,Female,Yes,1,Graduate,Government,70012,6241,14451,667860,728,0,Education,1810367,240,Rural,0.3,9.54,75.37,Approved
60,Female,Yes,1,Graduate,Business,193598,67701,34437,800258,621,0,Education,4572193,180,Rural,0.53,4.13,57.78,Rejected
43,Female,No,1,Graduate,Business,166299,44124,14736,634142,595,0,Education,2759530,240,Semiurban,0.35,3.81,60.1,Rejected
56,Female,No,0,Not Graduate,Self Employed,234532,95474,50663,317182,597,0,Vehicle,762946,180,Semiurban,0.62,1.35,49.93,Rejected
37,Female,Yes,1,Not Graduate,Business,55985,8579,10087,1240672,545,0,Personal,4554698,120,Rural,0.33,22.16,66.46,Rejected
35,Male,Yes,3,Not Graduate,Self Employed,46357,27321,2252,20866,863,0,Education,4090457,240,Rural,0.64,0.45,51.97,Rejected
33,Female,No,2,Graduate,Government,190996,80252,15218,1132295,338,0,Education,1574622,60,Semiurban,0.5,5.93,49.52,Rejected
52,Male,No,0,Graduate,Business,168887,84007,7032,712634,591,1,Education,1225750,300,Semiurban,0.54,4.22,55.29,Approved
38,Male,Yes,2,Graduate,Self Employed,189944,38720,47094,400487,314,1,Vehicle,4862894,120,Urban,0.45,2.11,42.22,Rejected
60,Female,No,4,Not Graduate,Government,125076,17502,6054,304884,788,1,Home,157295,180,Semiurban,0.19,2.44,69.25,Approved
36,Female,No,2,Not Graduate,Government,88564,47839,11781,1462841,541,0,Personal,4004016,180,Urban,0.67,16.52,57.39,Rejected
46,Female,Yes,2,Not Graduate,Private,77443,13753,15669,331253,765,1,Education,4707312,240,Rural,0.38,4.28,64.25,Approved
34,Male,Yes,4,Not Graduate,Business,40474,23486,1838,139516,860,0,Home,1480237,180,Rural,0.63,3.45,57.96,Rejected
49,Male,Yes,4,Not Graduate,Government,153791,63390,3646,960916,435,1,Education,4830429,60,Rural,0.44,6.25,54.9,Approved
50,Female,Yes,3,Not Graduate,Government,215508,33560,37900,163154,346,1,Vehicle,634856,300,Urban,0.33,0.76,45.56,Approved
25,Female,Yes,2,Not Graduate,Private,221581,22750,50189,1355375,730,1,Education,3862602,240,Semiurban,0.33,6.12,73.67,Approved
26,Male,No,0,Graduate,Self Employed,158632,21691,14594,17284,323,1,Education,4667138,240,Rural,0.23,0.11,44.06,Rejected
45,Male,Yes,3,Not Graduate,Private,92259,17352,3697,77564,729,0,Home,1828737,60,Urban,0.23,0.84,60.93,Approved
59,Male,No,4,Graduate,Private,214128,10798,26362,930571,539,0,Personal,1275542,300,Semiurban,0.17,4.35,66.01,Rejected
35,Female,No,1,Not Graduate,Private,193070,73321,14486,877298,607,1,Personal,4770090,300,Rural,0.45,4.54,60.14,Approved
32,Female,No,0,Not Graduate,Self Employed,225993,73742,20888,1470264,726,1,Home,2615647,240,Urban,0.42,6.51,71.76,Approved
55,Female,Yes,1,Not Graduate,Private,231229,126379,3776,1189408,722,1,Home,3358295,120,Semiurban,0.56,5.14,64.74,Approved
34,Female,Yes,3,Not Graduate,Government,160413,29966,3377,573004,686,0,Personal,1678428,300,Rural,0.21,3.57,67.81,Approved
56,Male,No,1,Not Graduate,Business,24019,8470,1556,256029,790,0,Home,3427190,120,Rural,0.42,10.66,73.55,Rejected
41,Female,No,3,Not Graduate,Business,88566,28569,16803,1052866,777,0,Education,2786311,120,Semiurban,0.51,11.89,72.71,Approved
41,Female,Yes,4,Graduate,Private,24251,9272,4532,1234803,893,1,Vehicle,1378519,120,Semiurban,0.57,50.92,73.58,Approved
35,Female,Yes,3,Not Graduate,Business,220110,112687,32022,1355730,802,1,Home,3054267,120,Urban,0.66,6.16,67.04,Approved
55,Female,Yes,4,Graduate,Government,239956,24485,53608,1411349,349,0,Education,1253362,120,Urban,0.33,5.88,57.11,Approved
30,Male,Yes,4,Not Graduate,Business,35846,20833,7993,42991,306,1,Personal,240309,300,Rural,0.8,1.2,23.31,Rejected
38,Female,Yes,4,Not Graduate,Private,48053,8156,8591,322260,546,0,Vehicle,3073267,180,Semiurban,0.35,6.71,59.15,Rejected
26,Female,No,3,Graduate,Private,98636,49829,2641,1380983,332,0,Education,3281497,240,Rural,0.53,14.0,52.74,Rejected
51,Male,Yes,1,Graduate,Self Employed,241598,118746,42264,704724,879,0,Personal,2027421,120,Rural,0.67,2.92,64.57,Rejected
57,Female,No,0,Graduate,Business,162352,78860,2156,386133,622,0,Home,1309566,240,Urban,0.5,2.38,53.92,Rejected
40,Male,Yes,4,Not Graduate,Business,120622,23343,25903,1455588,380,1,Personal,919447,240,Urban,0.41,12.07,59.47,Approved
25,Female,No,2,Graduate,Business,225402,135100,29527,1038870,533,1,Education,3722603,120,Rural,0.73,4.61,50.01,Rejected
58,Female,Yes,4,Not Graduate,Private,206937,14634,5376,571978,457,1,Home,3368386,180,Semiurban,0.1,2.76,61.22,Approved
27,Male,Yes,2,Not Graduate,Business,219582,40358,6699,287887,389,0,Education,3865173,300,Rural,0.21,1.31,52.27,Rejected
53,Female,Yes,0,Graduate,Business,165285,17198,39120,1264188,632,1,Personal,2548193,240,Semiurban,0.34,7.65,69.78,Approved
26,Male,Yes,3,Graduate,Private,90495,24734,8795,1044155,449,0,Home,3746328,180,Semiurban,0.37,11.54,62.46,Rejected
40,Female,Yes,2,Not Graduate,Private,208979,86924,32492,1255302,500,1,Personal,1236568,180,Urban,0.57,6.01,55.45,Approved
46,Female,No,2,Not Graduate,Business,132883,22842,19689,682483,505,1,Vehicle,1590129,240,Semiurban,0.32,5.14,58.43,Approved
39,Female,Yes,2,Not Graduate,Business,234039,108005,23921,248840,877,0,Home,4714566,60,Rural,0.56,1.06,63.56,Rejected
50,Male,No,2,Graduate,Self Employed,196417,70444,9121,1338201,610,0,Vehicle,1393047,240,Semiurban,0.41,6.81,66.44,Approved
25,Female,No,4,Not Graduate,Self Employed,162513,9818,23562,1481433,849,0,Personal,2182312,180,Urban,0.21,9.12,86.3,Approved
60,Male,No,2,Not Graduate,Government,22765,6615,2119,475570,822,0,Education,3238342,240,Semiurban,0.38,20.89,75.93,Rejected
58,Male,No,0,Not Graduate,Government,97445,32261,2813,253415,445,1,Vehicle,2977851,240,Urban,0.36,2.6,48.08,Approved
54,Female,No,3,Graduate,Self Employed,209266,96326,29651,678801,368,1,Personal,1065405,60,Semiurban,0.6,3.24,43.15,Rejected
27,Male,Yes,4,Graduate,Private,106766,41690,13971,978997,537,1,Home,1663526,240,Semiurban,0.52,9.17,60.84,Approved
22,Male,No,4,Not Graduate,Self Employed,21166,10773,1759,441561,585,0,Personal,4603751,120,Semiurban,0.59,20.86,59.08,Rejected
41,Male,No,0,Not Graduate,Self Employed,158337,88769,20539,1261938,697,1,Personal,3018603,180,Semiurban,0.69,7.97,62.54,Approved
60,Male,No,4,Graduate,Private,102099,12724,7817,650428,419,0,Vehicle,1285801,300,Semiurban,0.2,6.37,59.41,Approved
47,Male,No,3,Graduate,Self Employed,186592,75435,45444,1363208,477,0,Education,2522921,120,Urban,0.65,7.31,53.84,Rejected
41,Female,Yes,2,Graduate,Self Employed,55791,11393,13356,815189,875,1,Education,4224895,240,Rural,0.44,14.61,77.81,Approved
49,Female,Yes,0,Graduate,Private,96569,7142,9006,481530,850,1,Home,3936289,300,Rural,0.17,4.99,76.6,Approved
52,Male,Yes,2,Not Graduate,Government,219230,99238,28925,1155785,523,1,Personal,2176445,180,Urban,0.58,5.27,55.02,Approved
49,Female,No,0,Not Graduate,Government,223327,111415,15528,450146,659,1,Home,1267987,120,Urban,0.57,2.02,55.2,Approved
24,Female,No,4,Graduate,Business,204563,43356,18961,1211113,573,0,Home,3552719,60,Semiurban,0.3,5.92,66.35,Approved
29,Male,Yes,1,Not Graduate,Private,219615,115566,44317,833553,801,0,Vehicle,3574771,240,Semiurban,0.73,3.8,60.14,Rejected
25,Male,No,4,Not Graduate,Business,139195,68968,21449,1230449,302,0,Education,3104990,60,Rural,0.65,8.84,47.18,Rejected
46,Male,No,1,Not Graduate,Business,104637,59286,9292,718323,860,0,Education,2983496,60,Urban,0.66,6.86,66.48,Rejected
27,Female,Yes,0,Graduate,Self Employed,139673,5088,28036,434292,435,1,Home,2398641,60,Rural,0.24,3.11,54.02,Approved
44,Female,Yes,2,Graduate,Government,123898,45043,23789,1476834,539,1,Personal,898458,60,Urban,0.56,11.92,62.24,Approved
51,Male,Yes,4,Graduate,Self Employed,22434,5132,2814,262903,732,0,Education,694150,120,Semiurban,0.35,11.72,72.8,Rejected
26,Male,Yes,2,Not Graduate,Business,55947,17541,12672,289227,446,0,Personal,1476709,240,Semiurban,0.54,5.17,46.2,Rejected
34,Male,No,4,Not Graduate,Private,42724,8292,2293,268279,693,1,Education,2738247,120,Urban,0.25,6.28,67.64,Approved
38,Male,Yes,4,Not Graduate,Government,242269,84075,13464,1095798,821,0,Education,2579186,60,Urban,0.4,4.52,73.15,Approved
52,Female,Yes,1,Not Graduate,Government,158487,6581,23664,673691,435,1,Education,3165301,300,Rural,0.19,4.25,58.45,Approved
32,Female,Yes,0,Graduate,Government,88730,19138,1305,136812,707,1,Education,3653206,240,Urban,0.23,1.54,61.14,Approved
55,Male,No,0,Not Graduate,Government,154035,31633,10182,1134891,634,1,Personal,2701890,240,Rural,0.27,7.37,70.93,Approved
36,Male,Yes,0,Not Graduate,Government,138848,12212,20269,1406870,479,0,Personal,1251015,60,Urban,0.23,10.13,69.82,Approved
52,Female,No,1,Not Graduate,Private,216549,107383,17613,257582,330,1,Education,2381538,300,Urban,0.58,1.19,38.39,Rejected
37,Male,No,3,Not Graduate,Government,150969,79302,10936,781097,461,1,Personal,4914325,60,Urban,0.6,5.17,48.94,Approved
53,Male,Yes,0,Graduate,Government,143670,52707,25098,324750,483,0,Education,1983370,180,Urban,0.54,2.26,45.49,Rejected
47,Female,No,0,Not Graduate,Government,151607,11903,11753,478052,828,0,Education,678196,240,Semiurban,0.16,3.15,74.49,Approved
40,Female,Yes,4,Not Graduate,Government,116709,18151,9554,1192388,611,0,Education,3189303,300,Semiurban,0.24,10.22,74.7,Approved
33,Male,Yes,0,Not Graduate,Government,81078,40490,11351,1343666,309,1,Personal,3256422,180,Urban,0.64,16.57,47.79,Rejected
